,windSpeed,waveHeight,waveTp,peakDeflection,peakDeflectionTower
147,3.6,0.5,4.0,3.696,4.271599999999999
148,4.0,0.5,4.0,2.9093999999999998,3.241
149,3.0,0.5,4.0,2.1654,2.2173
150,6.2,0.5,4.0,2.4768,2.6143
151,5.7,0.5,4.0,3.2238999999999995,3.5754
152,5.7,0.5,4.0,3.3947,4.1359
153,3.8,0.5,4.0,1.9746,1.9553
154,4.5,0.5,4.0,1.8639,1.8576
155,5.5,0.5,4.0,2.0025999999999997,2.0559000000000003
156,7.2,0.5,4.0,2.1356,2.1156
157,4.1,0.5,4.0,2.001,2.3721
158,5.4,0.5,4.0,2.8464,2.8407999999999998
159,3.3,0.5,4.0,3.8316999999999997,3.8041
160,3.8,0.5,4.0,4.0280000000000005,3.7469
161,4.9,0.5,4.0,4.0362,4.0062
162,5.7,0.5,4.0,2.3933,2.6489
163,3.8,0.46,4.0,2.5584,2.7802000000000002
164,5.2,0.46,4.0,2.8968000000000003,3.0315000000000003
165,4.4,0.46,4.0,4.5663,4.4495
166,3.4,0.46,4.0,5.367,5.4059
167,5.0,0.46,4.0,4.5272,4.6991
168,3.8,0.46,4.0,4.49,4.4814
169,2.7,0.46,4.0,3.2362,3.6464000000000003
170,4.2,0.46,4.0,3.2554,2.9979
171,4.0,0.46,4.0,3.8808000000000002,4.1335999999999995
172,4.4,0.46,4.0,4.6479,4.7882
173,3.0,0.46,4.0,4.445,4.413799999999999
174,4.1,0.46,4.0,4.3,4.527
175,3.1,0.46,4.0,5.0813999999999995,4.6681
176,5.6,0.46,4.0,4.521100000000001,4.333
177,6.4,0.46,4.0,4.1342,4.1414
178,4.9,0.46,4.0,5.0228,5.1794
179,6.7,0.46,4.0,5.0574,5.0904
180,5.9,0.46,4.0,3.9347,3.9715
181,4.9,0.46,4.0,2.3372,2.4760999999999997
182,4.9,0.46,4.0,2.7403,2.1395
183,5.1,0.46,4.0,2.7628,3.6130000000000004
184,3.3,0.46,4.0,2.7823,3.0061
185,3.9,0.46,4.0,1.6631,1.5921
186,5.0,0.46,4.0,5.1878,4.893
187,3.4,0.46,4.0,5.2124,5.063
188,6.6,0.46,4.0,5.7388,5.7514
189,3.7,0.46,4.0,4.6886,4.4858
190,4.1,0.46,4.0,2.9674,3.1697
191,6.0,0.46,4.0,2.6526,2.4489
192,4.3,0.46,4.0,2.7688,3.0079000000000002
193,3.7,0.44,3.7,2.6287000000000003,2.5303
194,5.0,0.44,3.7,3.0364,2.9221
195,4.7,0.44,3.7,3.0416,3.0748
196,5.1,0.44,3.7,3.3434,3.6455
197,3.5,0.44,3.7,3.9218,3.8531000000000004
198,5.6,0.44,3.7,3.6717,3.2389
199,4.8,0.44,3.7,4.3641,4.233499999999999
200,4.6,0.44,3.7,4.9565,4.7372
201,5.2,0.44,3.7,5.7355,5.469799999999999
202,5.5,0.44,3.7,5.570399999999999,5.1589
203,5.5,0.44,3.7,4.2753,4.166
204,5.5,0.44,3.7,3.4993000000000003,3.4086
205,5.5,0.44,3.7,3.7241999999999997,3.6744
206,5.5,0.44,3.7,3.6768,4.8664
207,5.5,0.44,3.7,4.0119,5.5209
208,5.5,0.44,3.7,4.0369,5.7831
209,0.8,1.53,7.69,2.3479,11.3292
210,0.9,1.53,7.69,1.0871,13.214300000000001
211,1.4,1.53,7.69,4.9679,11.091199999999999
212,0.9,1.53,7.69,10.543800000000001,10.9573
213,0.8,1.53,7.69,6.3484,5.9367
214,1.0,1.53,7.69,3.1757,8.1601
215,1.5,1.53,7.69,2.2278,12.8031
216,1.4,1.53,7.69,2.0032,7.9676
217,1.0,1.53,7.69,2.854,8.116900000000001
218,1.6,1.53,7.69,3.5747,8.662799999999999
219,1.6,1.53,7.69,3.3061,10.9153
220,2.0,1.53,7.69,2.1511,9.9498
221,2.3,1.53,7.69,1.591,8.7432
222,1.5,1.53,7.69,3.8447,9.4718
223,2.0,1.53,7.69,3.4459999999999997,8.1157
224,2.0,1.53,7.69,3.5355,8.5283
225,1.6,1.53,7.69,2.3762,7.1487
226,1.2,1.53,7.69,2.164,7.6173
227,1.5,1.53,7.69,2.1,8.7927
228,1.4,1.53,7.69,2.3277,7.1966
229,1.4,1.53,7.69,5.2337,5.044499999999999
230,1.4,1.53,7.69,3.2182000000000004,8.8615
231,1.3,1.53,7.69,2.0831,11.688
232,1.2,1.53,7.69,1.1919000000000002,12.917799999999998
233,1.3,1.53,7.69,1.8891000000000002,9.7827
234,1.1,1.53,7.69,1.1900000000000002,15.293499999999998
235,1.3,1.53,7.69,1.3565,7.2117
236,1.0,1.53,7.69,1.6147000000000002,7.3281
237,1.7,1.53,7.69,2.0004999999999997,12.5526
238,1.6,1.45,7.14,3.3676,10.2865
239,1.6,1.45,7.14,4.199,10.040799999999999
240,1.9,1.45,7.14,5.8343,10.0399
241,1.7,1.45,7.14,2.4358,6.2574000000000005
242,11.8,1.02,5.56,2.5556,9.0898
243,9.6,1.02,5.56,3.2807000000000004,9.4224
244,6.7,1.02,5.56,3.1869,10.111699999999999
245,8.9,1.02,5.56,2.4128,9.260200000000001
246,8.6,1.02,5.56,2.5075,11.9914
247,9.5,1.02,5.56,2.0232,11.6062
248,9.4,1.02,5.56,2.3640000000000003,11.4403
249,9.5,1.02,5.56,3.6772,10.1315
250,9.1,1.02,5.56,3.4640999999999997,7.2090000000000005
251,10.5,1.02,5.56,2.1208,13.6941
252,10.5,1.02,5.56,2.4525,10.4976
253,9.1,1.02,5.56,2.3781,11.8703
254,9.2,1.02,5.56,3.5665000000000004,10.360700000000001
255,9.4,1.02,5.56,3.5397,7.935200000000001
256,10.0,1.02,5.56,3.2578000000000005,7.329199999999999
257,10.5,1.02,5.56,3.6957999999999998,5.539199999999999
258,8.0,1.02,5.56,2.9249,6.1813
259,9.1,1.02,5.56,3.6957999999999998,9.697600000000001
260,9.1,1.02,5.56,6.0562,8.0184
261,10.0,1.02,5.56,2.3981,10.9631
262,8.6,1.02,5.56,2.387,10.978499999999999
263,11.1,1.02,5.56,2.6152,8.708
264,9.1,1.02,5.56,2.5303,8.4966
265,9.8,1.02,5.56,5.663399999999999,5.6269
266,8.9,1.02,5.56,6.1814,6.4377
267,9.3,1.02,5.56,2.9133,4.472099999999999
268,9.1,1.02,5.56,4.8827,5.632899999999999
269,9.2,0.95,5.56,3.2571999999999997,5.8822
270,9.4,0.95,5.56,3.7375,5.453
271,7.7,0.95,5.56,3.9418,5.6867
272,10.2,0.95,5.56,6.8076,5.0192
273,9.6,0.95,5.56,6.1286,20.4081
274,10.1,0.84,5.26,5.0121,19.2835
275,11.6,0.84,5.26,4.4216,31.0021
276,11.2,0.84,5.26,5.8108,23.3954
277,10.6,0.84,5.26,4.6128,20.7941
278,9.7,0.84,5.26,2.5922,20.9349
279,9.8,0.84,5.26,2.8849,21.0829
280,8.2,0.84,5.26,4.0674,23.9138
281,11.2,0.84,5.26,2.7096,20.9023
282,9.6,0.84,5.26,2.8344,20.8284
283,10.6,0.84,5.26,2.5542,13.3307
284,11.5,0.84,5.26,2.5664,17.258699999999997
285,9.9,0.84,5.26,3.9418,17.827299999999997
286,12.4,0.84,5.26,3.428,16.0539
287,10.7,0.85,4.17,4.2879000000000005,15.060100000000002
288,12.2,0.85,4.17,4.9123,17.5045
289,11.0,0.85,4.17,4.3437,11.8917
290,10.4,0.85,4.17,3.8559,17.8992
291,11.9,0.85,4.17,3.1593999999999998,17.4514
292,11.2,0.85,4.17,2.8729999999999998,12.1251
293,9.8,0.85,4.17,2.8682,18.2867
294,10.6,0.85,4.17,3.519,22.1376
295,11.0,0.85,4.17,1.9859000000000002,16.2153
296,8.7,0.85,4.17,3.4278999999999997,11.9734
297,9.8,0.85,4.17,3.4141,19.491600000000002
298,9.5,0.85,4.17,3.4905,12.469800000000001
299,10.6,0.85,4.17,2.0465,18.220200000000002
300,9.9,0.85,4.17,2.9341,15.789100000000001
301,10.6,0.85,4.17,3.5340999999999996,15.335899999999999
302,11.8,0.85,4.17,3.4035999999999995,18.3934
303,11.7,0.85,4.17,5.3135,13.930100000000001
304,10.9,0.85,4.17,3.3767,11.2333
305,8.8,0.85,4.17,3.0727,11.6498
306,9.2,0.85,4.17,2.809,10.08
307,9.0,0.85,4.17,2.3703,10.7794
308,7.1,0.85,4.17,2.1449,10.789200000000001
309,8.8,0.85,4.17,2.8341000000000003,8.0745
310,9.0,0.85,4.17,3.3595,9.604
311,8.6,0.85,4.17,3.7197,14.8088
312,9.5,0.85,4.17,2.4379999999999997,15.481
313,8.6,0.85,4.17,1.7964,13.8682
314,10.0,0.85,4.17,2.7264,17.7122
315,8.8,0.85,4.17,1.8376,22.2717
316,8.6,0.85,4.17,2.3382,19.342100000000002
317,8.4,0.83,4.55,4.6530000000000005,15.753900000000002
318,10.0,0.83,4.55,3.5629,14.165
319,10.3,0.83,4.55,3.2060999999999997,13.7257
320,8.5,0.83,4.55,2.9061,9.1497
321,9.3,0.83,4.55,5.1808,12.0003
322,8.5,0.83,4.55,4.326300000000001,9.2685
323,8.2,0.83,4.55,2.8218,6.641900000000001
324,10.8,0.83,4.55,2.1955999999999998,8.9306
325,11.0,0.83,4.55,2.8892,9.4047
326,9.4,0.83,4.55,2.6443000000000003,5.3827
327,9.5,0.83,4.55,2.8559,6.709
328,10.0,0.83,4.55,4.1763,8.9851
329,9.2,0.83,4.55,3.1284,11.4218
330,8.6,0.83,4.55,2.8295,17.0707
331,9.8,0.83,4.55,2.9239,14.9623
332,10.8,0.83,4.55,2.5084,14.1768
333,9.7,0.83,4.55,3.2397,16.7832
334,9.4,0.83,4.55,4.1505,11.1759
335,9.2,0.83,4.55,2.7657000000000003,20.9665
336,10.2,0.83,4.55,2.2651999999999997,20.7305
337,10.0,0.83,4.55,3.3069,13.5068
338,10.8,0.83,4.55,3.5574000000000003,13.1195
339,8.1,0.83,4.55,3.9148,12.3449
340,9.4,0.83,4.55,3.0619,11.9468
341,11.1,0.83,4.55,3.0576,16.6883
342,9.9,0.83,4.55,1.799,11.8854
343,11.4,0.83,4.55,3.2571999999999997,8.3143
344,9.9,0.83,4.55,2.8247,8.3565
345,9.0,0.83,4.55,4.7433000000000005,7.89
346,10.8,0.83,4.55,4.5581000000000005,9.919
347,10.9,0.91,4.55,2.2123,20.158
348,9.7,0.91,4.55,3.5869,21.5817
349,9.6,0.91,4.55,1.9047,13.253300000000001
350,8.1,0.91,4.55,2.5644,16.8828
351,9.1,0.91,4.55,2.2458,20.055600000000002
352,7.8,0.91,4.55,2.5291,18.409
353,8.4,0.91,4.55,2.0101999999999998,11.647499999999999
354,9.8,0.91,4.55,3.5157000000000003,5.6123
355,10.9,0.91,4.55,3.2162,7.864
356,8.3,0.91,4.55,2.0965000000000003,15.4377
357,9.7,0.91,4.55,2.9598,7.2466
358,8.9,0.91,4.55,2.189,7.8291
359,10.3,0.91,4.55,3.5216,9.886000000000001
360,9.2,0.91,4.55,2.4953,8.7436
361,10.1,0.91,4.55,3.0115,11.985
362,9.0,0.91,4.55,4.3178,17.2908
363,8.6,0.91,4.55,2.5122999999999998,25.794099999999997
364,9.7,0.91,4.55,3.0488999999999997,26.923799999999996
365,8.1,0.91,4.55,3.0653,20.2377
366,10.1,0.91,4.55,2.1829,19.9696
367,8.4,0.91,4.55,2.5275,18.282799999999998
368,7.6,0.91,4.55,2.2887,11.9632
369,9.2,0.91,4.55,2.7267,10.102500000000001
370,9.1,0.91,4.55,5.8744,7.7832
371,10.3,0.91,4.55,5.2789,11.3969
372,9.5,0.91,4.55,4.0182,16.1103
373,10.2,0.91,4.55,3.0694,21.2508
374,10.5,0.91,4.55,2.1854999999999998,15.229899999999999
375,9.8,0.91,4.55,1.9716999999999998,10.4726
376,8.1,0.91,4.55,3.4373,14.942
377,7.6,0.86,4.76,2.8326000000000002,16.4905
378,9.4,0.86,4.76,2.8331,18.7815
379,11.6,0.86,4.76,3.8412,11.8555
380,9.7,0.86,4.76,3.0219,12.564900000000002
381,7.3,0.86,4.76,4.7321,17.418400000000002
382,9.3,0.86,4.76,2.7954,16.8463
383,10.3,0.86,4.76,3.3255,19.2716
384,8.8,0.86,4.76,2.5149999999999997,17.0461
385,8.0,0.86,4.76,3.447,14.5505
386,7.4,0.86,4.76,2.4253,26.826
387,8.1,0.86,4.76,3.02,26.801599999999997
388,7.4,0.86,4.76,2.1024000000000003,18.6516
389,7.6,0.86,4.76,2.7694,22.2364
390,8.5,0.86,4.76,2.7963999999999998,22.3091
391,8.4,0.86,4.76,3.5088,27.2458
392,8.7,0.86,4.76,4.4757,25.2774
393,9.7,0.86,4.76,2.7032,11.5619
394,8.0,0.86,4.76,3.1185,12.6918
395,9.0,0.86,4.76,3.467,8.3797
396,9.6,0.86,4.76,6.410299999999999,10.120999999999999
397,8.3,0.86,4.76,3.5763999999999996,7.1367
398,9.9,0.86,4.76,4.3061,7.0355
399,8.8,0.86,4.76,3.7838999999999996,7.062499999999999
400,9.5,0.86,4.76,4.3391,7.760400000000001
401,8.6,0.86,4.76,4.1727,8.6882
402,10.2,0.86,4.76,3.0266,5.9545
403,8.4,0.86,4.76,1.8398,26.6702
404,10.0,0.86,4.76,2.3092,25.4155
405,5.4,1.12,7.14,1.7327,20.8853
406,6.7,1.12,7.14,1.6353,11.425699999999999
407,6.1,1.12,7.14,1.3301,8.824300000000001
408,6.0,1.12,7.14,1.4947,12.0776
409,5.8,1.12,7.14,1.9587,11.079
410,6.4,1.12,7.14,1.4476,13.435500000000001
411,6.1,1.12,7.14,1.3579,15.9216
412,6.5,1.12,7.14,1.5754000000000001,19.5126
413,6.7,1.12,7.14,1.3637,21.2427
414,6.2,1.12,7.14,1.5899,31.9243
415,6.7,1.12,7.14,2.3970000000000002,40.0063
416,5.4,1.12,7.14,2.6363000000000003,33.7237
417,6.5,1.12,7.14,1.8911,37.0924
418,5.9,1.12,7.14,2.0838,29.938100000000002
419,6.3,1.12,7.14,1.545,25.084899999999998
420,5.6,1.12,7.14,1.4726,15.635499999999999
421,5.6,1.12,7.14,1.1518000000000002,13.7983
422,3.7,1.12,7.14,1.4690999999999999,17.2853
423,5.9,1.12,7.14,1.5874,5.744400000000001
424,5.1,1.12,7.14,2.1662,12.898599999999998
425,5.3,1.12,7.14,1.8771,15.676100000000002
426,6.0,1.12,7.14,1.8232000000000002,8.4024
427,5.0,1.12,7.14,1.6077000000000001,9.5604
428,5.3,1.25,6.67,1.6288,9.645
429,6.1,1.25,6.67,1.5487000000000002,9.3868
430,5.9,1.25,6.67,1.4345999999999999,13.547699999999999
431,6.2,1.25,6.67,3.641,23.913899999999998
432,6.1,1.25,6.67,2.1677999999999997,26.524399999999996
433,6.1,1.25,6.67,1.5217,10.590399999999999
434,5.5,1.25,6.67,1.3941999999999999,11.1539
435,6.6,1.25,6.67,1.5846,15.244399999999999
436,6.5,1.25,6.67,2.802,20.3039
437,6.6,1.25,6.67,2.0636,14.8088
438,6.4,1.25,6.67,2.2658,13.4799
439,6.4,1.25,6.67,3.345,13.6739
440,7.2,1.25,6.67,1.3426,18.919
441,6.9,1.25,6.67,1.5685,19.9308
442,6.7,1.25,6.67,2.4538,18.8621
443,6.7,1.25,6.67,1.229,13.009299999999998
444,6.6,1.25,6.67,1.3914,16.7086
445,6.0,1.25,6.67,1.7212,21.3094
446,5.9,1.25,6.67,1.6764000000000001,15.8438
447,6.8,1.25,6.67,1.3121,14.9281
448,6.4,1.25,6.67,1.1306,14.3801
449,6.2,1.25,6.67,1.0945,18.9527
450,6.1,1.25,6.67,1.9792,18.654799999999998
451,5.8,1.25,6.67,1.9336,12.433
452,5.4,1.25,6.67,1.6997000000000002,16.1263
453,5.6,1.25,6.67,1.2419,9.783999999999999
454,6.0,1.25,6.67,1.9243,18.8228
455,5.6,1.25,6.67,1.6835,13.684299999999999
456,5.6,1.25,6.67,2.1090999999999998,9.4762
457,6.7,1.25,6.67,1.4863,10.577300000000001
458,5.6,1.09,7.14,1.7704000000000002,13.1379
459,6.9,1.09,7.14,1.7061,14.416
460,5.7,1.09,7.14,2.0183,18.0011
461,6.1,1.09,7.14,2.1268,13.245899999999999
462,5.8,1.09,7.14,2.2963,17.3616
463,6.4,1.09,7.14,1.402,13.7621
464,6.7,1.09,7.14,1.7638999999999998,23.0522
465,6.7,1.09,7.14,1.6792999999999998,10.803500000000001
466,6.1,1.09,7.14,2.1677,9.5518
467,6.8,1.09,7.14,1.1319,10.9062
468,6.0,1.09,7.14,2.0338,11.023
469,5.2,1.09,7.14,1.8429000000000002,7.487000000000001
470,5.9,1.09,7.14,1.8837,15.475
471,6.3,1.09,7.14,1.5357,17.424899999999997
472,5.3,1.09,7.14,1.8849,13.713600000000001
473,5.3,1.09,7.14,1.2204,13.0114
474,7.4,1.09,7.14,1.8857,17.0256
475,6.8,1.09,7.14,2.325,15.1981
476,6.0,1.09,7.14,2.4677000000000002,9.296899999999999
477,5.8,1.09,7.14,2.8093,16.8648
478,5.8,1.09,7.14,2.9697,17.3435
479,6.8,1.09,7.14,2.0082,14.5905
480,6.1,1.09,7.14,1.8435,26.3992
481,6.1,1.09,7.14,2.3552,25.0708
482,5.8,1.09,7.14,1.4928000000000001,17.7026
483,6.1,1.09,7.14,1.7788000000000002,11.952300000000001
484,5.2,1.09,7.14,1.1303,16.8594
485,6.1,1.09,7.14,1.1998,24.5066
486,6.0,1.09,7.14,1.7766,25.7227
487,6.8,1.09,7.14,2.4722,12.8953
488,7.4,1.13,6.67,1.8061,9.9098
489,6.3,1.13,6.67,1.4132,21.3587
490,5.8,1.13,6.67,1.7017,30.9548
491,6.7,1.13,6.67,2.3399,29.548000000000002
492,6.8,1.13,6.67,1.332,25.9301
493,6.2,1.13,6.67,1.6587999999999998,13.3426
494,7.0,1.13,6.67,1.1818,13.020399999999999
495,7.0,1.13,6.67,1.6798,16.625400000000003
496,6.4,1.13,6.67,1.9532,22.6544
497,6.5,1.13,6.67,2.0361000000000002,29.8757
498,7.4,1.13,6.67,1.7536,25.323600000000003
499,7.0,1.13,6.67,1.6517,16.6222
500,6.3,1.13,6.67,1.8363999999999998,18.6437
501,5.5,1.13,6.67,1.703,18.4926
502,6.4,1.13,6.67,2.1531000000000002,9.2095
503,6.8,1.13,6.67,1.5327,10.714
504,6.3,1.13,6.67,1.7187000000000001,6.848400000000001
505,6.3,1.13,6.67,1.6040999999999999,6.3721
506,6.4,1.13,6.67,1.4441000000000002,10.291699999999999
507,7.3,1.13,6.67,1.9297000000000002,8.2887
508,7.4,1.13,6.67,1.7805000000000002,11.3744
509,6.8,1.13,6.67,1.8981000000000001,7.6558
510,7.0,1.13,6.67,2.6845999999999997,15.065500000000002
511,6.5,1.13,6.67,1.7392,13.2383
512,6.9,1.13,6.67,1.3861999999999999,9.8352
513,6.8,1.13,6.67,2.3435,8.8656
514,6.6,1.13,6.67,2.3478,12.740099999999998
515,7.4,1.13,6.67,1.3542999999999998,9.4271
516,7.3,1.13,6.67,3.6559,9.325700000000001
517,5.7,1.13,6.67,1.7724,19.419900000000002
518,6.7,1.1,6.25,1.7510999999999999,20.4764
519,5.9,1.1,6.25,1.7246000000000001,12.3835
520,6.1,1.1,6.25,2.5951999999999997,17.583099999999998
521,7.1,1.1,6.25,2.0478,17.5807
522,6.5,1.1,6.25,1.9772999999999998,9.7729
523,6.5,1.1,6.25,2.1386,9.2724
524,6.0,1.1,6.25,1.214,14.3687
525,7.1,1.1,6.25,2.5467,18.4585
526,6.3,1.1,6.25,1.7668,16.9105
527,6.6,1.1,6.25,1.4821,12.4065
528,6.5,1.1,6.25,1.8964999999999999,13.2939
529,5.8,1.1,6.25,1.5504,8.9865
530,6.6,1.1,6.25,1.6367,7.072100000000001
531,7.8,1.1,6.25,1.4218,10.2812
532,6.2,1.1,6.25,1.5637,10.7924
533,6.3,1.1,6.25,2.223,13.869699999999998
534,5.8,1.1,6.25,2.8942,8.2794
535,5.7,1.1,6.25,2.0524,9.0389
536,7.0,1.1,6.25,2.2540999999999998,10.976700000000001
537,6.1,1.1,6.25,2.0389999999999997,10.7741
538,6.4,1.1,6.25,2.0629999999999997,14.2483
539,7.0,1.1,6.25,1.7028,14.5911
540,6.3,1.1,6.25,2.4367,8.9667
541,6.0,1.1,6.25,2.6362,13.0303
