epoch;acc_x;acc_y
1892.8745;-0.11131;-0.10014
1893.0912;-0.05052;-0.09844
1893.3079;-0.01491;-0.09926
1893.5246;0.01134;-0.08282
1893.7413;0.05748;-0.0777
1893.958;0.11836;-0.10076
1894.1747;0.18956;-0.11914
1894.3914;0.22442;-0.1207
1894.6081;0.24306;-0.12128
1894.8248;0.23363;-0.10028
1895.0415;0.2299;-0.0598
1895.2582;0.22074;-0.01665
1895.4749;0.20535;0.01517
1895.6916;0.16075;0.0397
1895.9083;0.09006;0.0416
1896.125;0.01202;0.03011
1896.3417;-0.05681;0.0283
1896.5584;-0.09603;0.04779
1896.7751;-0.12841;0.07134
1896.9918;-0.16725;0.10288
1897.2085;-0.21322;0.14226
1897.4252;-0.24107;0.14698
1897.6419;-0.25015;0.138
1897.8586;-0.23013;0.1159
1898.0753;-0.18906;0.08126
1898.292;-0.1505;0.06399
1898.5087;-0.12824;0.05658
1898.7254;-0.10634;0.07581
1898.9421;-0.05918;0.08673
1899.1588;0.008;0.09505
1899.3755;0.07808;0.08892
1899.5922;0.12024;0.05086
1899.8089;0.13948;0.01215
1900.0256;0.15388;-0.01611
1900.2423;0.18826;-0.04599
1900.459;0.22612;-0.05935
1900.6757;0.23939;-0.06056
1900.8924;0.21712;-0.06692
1901.1091;0.16328;-0.07878
1901.3258;0.12009;-0.10323
1901.5425;0.08757;-0.13259
1901.7592;0.0584;-0.1626
1901.9759;0.0000131;-0.19161
1902.1926;-0.0763;-0.18881
1902.4093;-0.13095;-0.17595
1902.626;-0.15003;-0.14822
1902.8427;-0.14903;-0.11235
1903.0594;-0.15763;-0.09126
1903.2761;-0.1667;-0.08082
1903.4928;-0.17045;-0.06907
1903.7095;-0.14853;-0.0609
1903.9262;-0.11719;-0.04789
1904.1429;-0.08647;-0.01816
1904.3596;-0.05231;0.0197
1904.5763;-0.02383;0.0672
1904.793;0.01222;0.09934
1905.0097;0.03867;0.10243
1905.2264;0.06816;0.09569
1905.4431;0.09365;0.09371
1905.6598;0.11655;0.09728
1905.8765;0.13553;0.10626
1906.0932;0.13239;0.13273
1906.3099;0.12858;0.14453
1906.5266;0.12218;0.1572
1906.7433;0.12912;0.18471
1906.96;0.12902;0.1842
1907.1767;0.11634;0.17212
1907.3934;0.07311;0.16065
1907.6101;0.02483;0.14861
